entity:soil4_sample_id	metagenome_size_in_gbp	singlem_table	sra_accession
ERR1700720	15	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/28585c6f-cad6-4261-9c5b-fa1bf388a638/call-singlem/ERR1700720.singlem.json.gz	ERR1700720
ERR1700722	55	undefined	ERR1700722
ERR1700723	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/00ca0ecf-a412-4e8d-b9f1-183e11a110b4/call-singlem/ERR1700723.singlem.json.gz	ERR1700723
ERR1700724	16	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/73792669-9b6c-4849-a4d0-5f2b31958ce3/call-singlem/ERR1700724.singlem.json.gz	ERR1700724
ERR1700725	19	undefined	ERR1700725
ERR1700728	15	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/35076ac8-f638-40ce-9f1a-d6d41caec6ba/call-singlem/ERR1700728.singlem.json.gz	ERR1700728
ERR1700729	14	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/198b5558-78ef-4923-afbe-414371d72369/call-singlem/ERR1700729.singlem.json.gz	ERR1700729
ERR1700730	49	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/22959d11-e486-46a5-bab8-ed09f13db429/call-singlem/attempt-2/ERR1700730.singlem.json.gz	ERR1700730
ERR1700732	16	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/60ba83c8-785c-434a-991f-eb41c0399e7d/call-singlem/ERR1700732.singlem.json.gz	ERR1700732
ERR1700733	46	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/8809a544-3204-408f-ab60-931e7cdd8aef/call-singlem/attempt-2/ERR1700733.singlem.json.gz	ERR1700733
ERR1700735	18	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/f29b05c1-92fe-4773-bfd5-bdd7979623dd/call-singlem/ERR1700735.singlem.json.gz	ERR1700735
ERR1700736	19	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/5bc0c0f2-f3a9-4266-b0ae-f3a2f8b355a9/call-singlem/ERR1700736.singlem.json.gz	ERR1700736
ERR1700738	16	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/391ad0a3-c88c-40db-8248-f2027dc47ca9/call-singlem/ERR1700738.singlem.json.gz	ERR1700738
ERR1700739	17	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/5d6e2f46-8fe7-4290-9b97-ed1b10a102ed/call-singlem/ERR1700739.singlem.json.gz	ERR1700739
ERR1700740	15	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/1c1c1153-7dcc-4555-b7b7-177b9ae8d58b/call-singlem/ERR1700740.singlem.json.gz	ERR1700740
ERR1700741	20	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/2c99ce8d-6ad6-427d-8d29-4c6d77806d23/call-singlem/ERR1700741.singlem.json.gz	ERR1700741
